perfil_seguidores2,numero_seguidores2
vini_h20,45
cleitin791,48
adalberto_solidade_,38
lauraa.pachecoo,305
frasesparacasais2,67
lopees_kah,128
lorexavier7,45
quintana.cat,208
carlosricardoo56,60
vmbconta4,42
limasaudesbr,63
filipecosta5485,131
habibmanasses,38
ousados_sonhadores10,70
fabianiha2020,61
cristianoog11,60
simone_lekigs,47
ofc_da_stefany_bays_,119
marianahgarcia6,134
ris_aely3,33
gamergota5,36
shelbycompanymoddedcars,58
luna202188,102
omarzinhuuu,32
_felipe_many,46
alice.santana98,23
voidgigabytes,37
emag_maissaude,110
madarauchiha_miller,36
vida_de_pet010,1042
laura_1818sergipe,66
tamirysmay,164
mout20,70
pol_iciaoperacional,76
camilaandrade.f,27
irmaolucasl,240
gerusaa4,49
behinditbts7,88
lili_ca08,60
adimilson711,23
andersonsilva39217,88
fernnandacovet,43
rayaneoliveira1579,62
lorranynunness,259
anapaul174,175
paes_op2,72
glorinhafer,133
frasesinspiradoras844,106
doismil029,43
ateeny8world,143
faela978,60
palavras_pro_coracao,1231
fasdylan4,78
doismil017,62
lorranacristina2,104
tiagochi,2771
fc.br_supernatural,49
analiice7,71
cenouraquefala,32
danadinha.carla,108
souza_1331,62
dlg_design,132
noob_olimpomata,1384
tricolorsempre05,790
viverdeproventos,3759
jacksonnfive5,442
gabrielamoura864,58
roup.inhastop,53
brunosouzz.c,75
naesantos233,194
mckavinhofans,50
danilosousa7761,107
manual_entretenimento,101
petrovakatharine3,41
gaa_bryela,82
maisafa2021,64
shit_post_day,34
gabi04zx,79
braim74,36
daimon_salvatore02,46
denisefarias2021,57
sergiogiogi,68
luana_vargass,94
xaviermonica020,74
mayla4617,80
barbara68802,49
zx_a7_,33
dasilvaerika01,155
mariana.costaa2021,137
lucasramosofc_,1129
flah9wp,0
gabrielasilva6327,138
joycesilva8429,188
fernand_alip,41
daysiiinhaa,151
jane202119,84
weslley.silva1c7,133
pivatinhu_u,2876
1000.por.dia,159
theoriginalsfanpage8,105
luan.pires__,43
agatha_ribeirot,128
marquinho.ex,119
thaisdjds,101
bella.euzx,46
noemi3fdf44,20
lisafernanda2233,159
joao0coll,541
yanni_santo,66
lunnarodrigues321,72
gui_oliveiracec,603
docinho.236,104
paulorobertopmw,270
vanuzam9h,57
mylife_laryyc.cardoso,63
vianaluana928,83
gandoteto,622
rafaela.gomes15,70
bcodesolucoes,183
bruno28n.r,273
helo03092020haisbw,3957
pedidodedoacaopets,267
niggas.belezas,77
brun.andrade115,49
marcelinho.h.r,1011
henriqueinacio_h4,358
andr.eia7397,55
dudadebrandao,83
alvesrebeca0107,58
miguelfc2.0,65
eron2706,77
gbii.i12,51
daianee_ani,162
guilhermesantos9327,89
anaaa_san,96
tatianarodrigues213,62
kktminn,36
nathysantus51,70
francieledasneves,83
psgmalucos,48
bruninvest,402
reiziferreira,45
demelio.brito,102
18kar961,118
david513s,88
frasesdeamor_s2,102
ufc_combat3,45
scottkin_,42
marcelocastro34436,51
citacoesslivros,48
carolineteless1,75
mouraheloisa98,82
yasmimhard80_s,374
b3rry4rley,73
salgking72,88
beatrizmartia2021,232
franzinhadapeak,186
farias_jr6,58
aline.depil,156
danispecter018,28
snavarrofas,96
toydonadri,29
barroso_joel20,705
_dietayeah,140
salaoadomicilioroo,132
danixxpi,56
paulasousavs65,0
maria.diulian,78
faclubedorodolffo,48
glacymoller,211
amope126_,191
festasminni,53
paty.2103,134
vicks_souza12,387
cakes.daluh,160
marciakarllaw,78
mallufe,47
vanessacamargovene,71
rhayanesilva89,52
